source;target
Technoconsult Aps;9803847
Consorzio Per La Ricerca E L'educazione Permanente, Torino;9803847
Budapesti Muszaki Es Gazdasagtudomanyi Egyetem;9803847
Danmarks Tekniske Universitet;9803847
Commissariat A L'energie Atomique;9803847
Txt E-solutions Spa;9803873
Fraunhofer Iaf;9803873
Uninova - Instituto De Desenvolvimento De Novas Tecnologias;9803873
Middle East Technical University;9803873
Fratelli Piacenza S.P.A.;9803873
Intel Performance Learning Solutions Limited;9803873
Srdc Yazilim Arastirma Ve Gelistirme Ve Danismanlik Ticaret Limited Sirketi;9803873
Universite De Mons-hainaut;9803920
Chalmers Tekniska Hoegskola Aktiebolag;9803920
Technische Universiteit Delft;9803920
Kobenhavns Universitet;9803920
Ibm Research Gmbh;9803920
Softeco Sismat Srl;9803967
Deutsches Forschungszentrum Fuer Kuenstliche Intelligenz Gmbh;9803967
Singularlogic Anonymos Etairia Pliroforiakon Systimaton & Efarmogon Pliroforikis;9803967
The University Of Manchester;9803967
Techfin Srl;9803967
Ustav Informatiky, Slovenska Akademia Vied;9803967
Atos Origin Sociedad Anonima Espanola;9803967
Federacion Espanola De Entitades De Innovacion Y Tecnologia;9803967
Technische Universitàt Wien;9803967
Aitek Societa' Per Azioni;9803967
Interuniversitàir Micro-electronica Centrum Vzw;9804029
The University Of Glasgow;9804029
Commissariat A L'energie Atomique;9804029
National Centre For Scientific Research Demokritos;9804029
Katholieke Universiteit Leuven;9804029
Aixtron Aktiengesellschaft;9804029
Ibm Research Gmbh;9804029
Stmicroelectronics Crolles 2 Sas;9804029
Nxp Semiconductors Belgium Nv;9804029
European Road Transport Telematics Implementation Coordination Organisation S.C.R.L.;9804106
University Of Leeds;9804106
Business Unit Of Tno Built Environment And Geosciences;9804106
Valtion Teknillinen Tutkimuskeskus;9804106
Chalmers Tekniska Hoegskola Aktiebolag;9804106
Volvo Technology Ab;9804106
Universitàt Zu Koeln;9804106
Centro Ricerche Fiat - Societa' Consortile Per Azioni;9804106
Bundesanstalt Fuer Strassenwesen;9804106
Loughborough University;9804106
Volvo Personvagnar Ab;9804106
Institut National De Recherche Sur Les Transports Et Leur Securite;9804106
Robert Bosch Gmbh;9804106
Bmw Forschung Und Technik Gmbh;9804106
Daimler Ag;9804106
Statens Vag- Och Transportforskningsinstitutet;9804106
Orange France;9804106
Infoblu Spa;9804106
Groupement D'interet Economique De Recherches Et D'etudes Psa Renault;9804106
Delphi France Sas;9804106
Adc Automotive Distance Control Systems Gmbh;9804106
Forschungszentrum Informatik An Der Universitàt Karlsruhe;9804170
Itemis Gmbh;9804170
Maelardalens Hoegskola;9804170
Softeco Sismat Srl;9804170
Politecnico Di Milano;9804170
Ericsson Nikola Tesla D.D.;9804170
Univerzita Karlova V Praze;9804170
Abb Ag;9804170
Commissariat A L'energie Atomique;9804248
Lancaster University;9804248
Numonyx Italy S.R.L.;9804248
Kungliga Tekniska Hoegskolan;9804248
Qimonda Flash Gmbh;9804248
Hyperstone Gmbh;9804248
